date,price
10-Feb-2014 05:45:07,566
10-Feb-2014 05:45:37,565
10-Feb-2014 05:47:07,564
10-Feb-2014 05:50:37,563
10-Feb-2014 05:51:37,564
10-Feb-2014 05:52:07,563
10-Feb-2014 05:53:07,562
10-Feb-2014 05:53:37,563
10-Feb-2014 05:54:08,562
10-Feb-2014 05:55:07,564
10-Feb-2014 05:55:37,563
10-Feb-2014 05:56:07,562
10-Feb-2014 05:56:38,564
10-Feb-2014 05:57:07,563
10-Feb-2014 05:57:38,811
10-Feb-2014 05:58:07,815
10-Feb-2014 05:58:38,810
10-Feb-2014 05:59:07,809
10-Feb-2014 05:59:38,808
10-Feb-2014 06:00:39,868
10-Feb-2014 06:01:08,864
10-Feb-2014 06:01:38,865
10-Feb-2014 06:02:08,863
10-Feb-2014 06:02:38,861
10-Feb-2014 06:03:29,959
10-Feb-2014 06:03:30,950
10-Feb-2014 06:03:38,828
10-Feb-2014 06:04:08,725
10-Feb-2014 06:04:54,2038
10-Feb-2014 06:05:08,2184
10-Feb-2014 06:05:38,2035
10-Feb-2014 06:06:08,1713
10-Feb-2014 06:07:08,1682
10-Feb-2014 06:08:08,1684
10-Feb-2014 06:09:08,1733
10-Feb-2014 06:10:08,856
10-Feb-2014 06:11:08,857
10-Feb-2014 06:12:08,860
10-Feb-2014 06:13:08,858
10-Feb-2014 06:14:08,861
10-Feb-2014 06:15:08,859
10-Feb-2014 06:15:38,884
10-Feb-2014 06:16:19,886
10-Feb-2014 06:17:08,1524
10-Feb-2014 06:18:08,680
10-Feb-2014 06:20:08,681
10-Feb-2014 06:20:38,678
10-Feb-2014 06:21:08,681
10-Feb-2014 06:21:38,682
10-Feb-2014 06:22:08,681
10-Feb-2014 06:23:08,678
10-Feb-2014 06:23:38,681
10-Feb-2014 06:25:25,680
10-Feb-2014 06:25:38,681
10-Feb-2014 06:27:08,814
10-Feb-2014 06:27:38,820
10-Feb-2014 06:28:08,819
10-Feb-2014 06:28:38,1985
